docid,url,domain,title,passage
envlLlHKNexZ,https://sudact.ru/regular/doc/envlLlHKNexZ/,sudact.ru,Решение № 2-2049/2020 2-2049/2020~М-1397/2020... :: СудАкт.ру,"1992 года № 2300-1 ""О защите прав потребителей"" ""запрещается обусловливать приобретение одних товаров (работ, услуг) обязательным приобретением иных товаров (работ, услуг)"".Кроме того, при решении вопроса о соблюдении требований, установленных пунктами 9 и 16 части 4 статьи 5 Закона № 353-ФЗ, возлагающих на кредитора обязанность по доведению в числе общей информации об условиях предоставления, использования и возврата потребительского кредита."
TmsdMbd6SWbB,https://sudact.ru/regular/doc/TmsdMbd6SWbB/,sudact.ru,Решение № 2-2080/2024 2-2080/2024~М-709/2024... :: СудАкт.ру,"Статьей 15 Закона РФ «О защите прав потребителей» предусмотрено, что моральный вред, причиненный потребителю вследствие нарушения изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) прав потребителя, предусмотренных законами и правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей, подлежит компенсации причинителем вреда при наличии его вины."
ebtVncIUeTZ,https://sudact.ru/regular/doc/ebtVncIUeTZ/,sudact.ru,Решение № 2-3024/2020 2-73/2021 2-73/2021... :: СудАкт.ру,"Финансовый уполномоченный по правам потребителей финансовых услуг в сфере страхования ФИО3 по результатам рассмотрения обращения ФИО1 от 24.08.2020 года, вынес 10.09.2020 года решение № (л.д.31-37) об отказе в удовлетворении заявления. | Доказательств того, что имело место, запрещенное ст. 16 Закона РФ «О защите прав потребителей» навязывание услуг при условии приобретения иных услуг, в материалах дела не имеется."
SW8mtYL4Ca5,https://sudact.ru/regular/doc/SW8mtYL4Ca5/,sudact.ru,Решение № 2-1199/2023 2-1199/2023~М-727/2023... :: СудАкт.ру,"Заключение договора страхования не противоречит требованиям закона и не может рассматриваться как навязанная услуга по смыслу положения статьи 16 Закона «О защите прав потребителей». В соответствии с частью 1 статьи 56 Гражданского процессуального кодекса Российской Федерации каждая сторона должна доказать те обстоятельства, на которые она ссылается как на основания своих требований либо возражений."
A0LlEwfLCJbW,https://sudact.ru/regular/doc/A0LlEwfLCJbW/,sudact.ru,Решение № 2-7378/2018 от 14 ноября 2018 г. по делу... :: СудАкт.ру,"Такие условия соглашения должны квалифицироваться как навязываемая услуга, что противоречит п.2 ст.16 Закона РФ «О защите прав потребителей».Пункт 2 ст.935 ГК РФ предусматривает, что обязанность страховать свою жизнь или здоровье не может быть возложена на гражданина по закону. Вместе с тем, положения о возложении обязанностей страхования жизни заемщика, не были включены в условия заключенного кредитного договора."
9yEYiEkZrH1s,https://sudact.ru/regular/doc/9yEYiEkZrH1s/,sudact.ru,Решение № 2-6711/2019 2-6711/2019~М-5945/2019... :: СудАкт.ру,"Услуга страхования является навязанной и противоречит положениям пункта 1 статьи 16 Закона «О защите прав потребителей». Истец считает, что при заключении кредитного договора банк не вправе требовать от заемщика осуществления какого либо личного страхования, поскольку данное требование не имеет под собой правовой основы, не относится к предмету кредитного договора и является навязанной услугой и просит взыскать с Банка ВТБ (ПАО) денежные средства..."
K4vajruoDnd1,https://sudact.ru/regular/doc/K4vajruoDnd1/,sudact.ru,Решение № 2-1543/2020 2-72/2021 2-72/2021... :: СудАкт.ру,"Нарушение пункта 2 статьи 16 Закона РФ ""О защите прав потребителей"" влечет за собой недействительность части договора, поскольку банк обусловил выдачу кредита обязательностью заключения договора страхования. В силу пункта 2 статьи 935 Гражданского кодекса Российской Федерации личное страхование жизни или здоровья является добровольным, не может никем быть возложено на гражданина в качестве обязательства, обусловливающего предоставление ему другой самостоятельной услуги."
E0AuTM2x496w,https://sudact.ru/regular/doc/E0AuTM2x496w/,sudact.ru,Решение № 2-6296/2020 2-6296/2020~М-4588/2020... :: СудАкт.ру,"представителя истца ФИО2, рассмотрев в открытом судебном заседании гражданское дело по иску. ФИО1 к ООО «Авто Ритейл Диамант» о взыскании стоимости навязанных услуг, неустойки, штрафа, компенсации морального вреда | Суд не усматривает в действиях ответчика запрещенного статьей 16 Закона «О защите прав потребителей» навязывания услуг, учинения препятствий для внимательного ознакомления с документами, а также факта отказа со стороны ответчика в предоставлении более подробной информации."
5D14XXTO7DLV,https://sudact.ru/regular/doc/5D14XXTO7DLV/,sudact.ru,Решение № 2-1098/2021 2-1098/2021~М-30/2021... :: СудАкт.ру,"Банк навязал истцу приведённые дополнительные услуги и обусловил предоставление кредита обязательным приобретением спорных дополнительных услуг, нарушив право истца на свободный выбор услуг. | Абзацем 2 части 1 статьи 16 Закона РФ «О защите прав потребителей», предусмотрено, что если в результате исполнения договора, ущемляющего права потребителя, у него возникли убытки, они подлежат возмещению изготовителем) исполнителем, продавцом) в полном объеме."
vEYzUwo3klZt,https://sudact.ru/regular/doc/vEYzUwo3klZt/,sudact.ru,Решение № 2-353/2019 от 16 декабря 2019 г. по делу... :: СудАкт.ру,"На основании статьи 32 ФЗ «О защите прав потребителей» она написала заявление о том, что отказывается в полном объёме от Договора возмездного оказания услуг «Комплексная услуга Автовладельцу» («Помощь на дорогах») и просила расторгнуть этот договор и вернуть ей 240 000 рублей. Заявление было отправлено по почте ДД.ММ.ГГГГ."
CsVce7Qv37gw,https://sudact.ru/regular/doc/CsVce7Qv37gw/,sudact.ru,Решение № 2-1037/2021 2-1037/2021~М-688/2021... :: СудАкт.ру,"Таким образом, заключение договора страхования в рамках кредитного договора не противоречит пункту 2 статьи 16 Закона РФ «О защите прав потребителей». Учитывая изложенное, каких-либо обстоятельств, свидетельствующих о навязывании ФИО1 договора страхования, либо о том, что данная услуга явилась условием для предоставления банковских услуг, суд не усматривает. Истцом в основание иска заявлено о досрочном погашении задолженности по кредитному договору с АО «Тойота Банк»."
pxYJYWBZTG5j,https://sudact.ru/regular/doc/pxYJYWBZTG5j/,sudact.ru,Решение № 2-1081/2020 2-143/2021 2-143/2021... :: СудАкт.ру,"Страховая услуга была навязана заемщику сотрудником банка, оформлявшим кредит. | Таким образом, у суда не имеется оснований для выводов о ""навязанности"" оспариваемой истцом услуги и о нарушениях процедуры заключения кредитного договора, предусмотренных статьей 16 Закона РФ ""О защите прав потребителей"" и п. 10 ст. 7 Федерального закона ""О потребительском кредите (займе)"", в связи с чем, требования истца удовлетворению в данной части не подлежат."
