docid,current_dispute_type,suggested_dispute_type_code,suggested_dispute_type_label,current_claim_type,suggested_claim_type_codes,current_result_type,current_focus_party_result,suggested_result_type,current_platform,suggested_platform_norm,current_object_type,suggested_object_type_norm,current_index_policy,suggested_index_policy,current_main_site_fit,suggested_main_site_fit,reason,review_decision,review_comment,final_dispute_type_code,final_claim_type_codes,final_result_type,final_platform_norm,final_object_type_norm,final_index_policy,final_main_site_fit
yQ8qgPoesvWJ,спор об ответственности владельца агрегатора перед потребителем,info_violation_art10_12,ответственность маркетплейса/агрегатора за товар продавца,"взыскание разницы в стоимости товара, убытков, неустойки, компенсации морального вреда",price_difference; damages; penalty; moral_damage; consumer_fine,отказ в удовлетворении иска,проигрыш,rejected,Ozon (ООО «Интернет Решения»),Ozon,видеокарта,видеокарта,index,index,True,True,"отказ к Ozon из-за статуса агрегатора, полезный отказной кейс",ok,Предложенные коды корректны. Спор об ответственности агрегатора по ст.12 ЗоЗПП.,info_violation_art10_12,price_difference; damages; penalty; moral_damage; consumer_fine,rejected,Ozon,видеокарта,index,True
FuXzeJou9YYT,"односторонний отказ продавца от исполнения договора купли-продажи, нарушение срока передачи предварительно оплаченного товара",prepaid_goods_delay_art23_1,маркетплейс/продавец не передал оплаченный товар,"обязание передать товар, взыскание неустойки, компенсации морального вреда, штрафа, судебных расходов",compel_transfer; penalty; moral_damage; consumer_fine; expenses,иск удовлетворён частично,иск удовлетворён частично (к ИП ФИО2); в иске к ООО «Интернет Решения» отказано,mixed,Ozon (ООО «Интернет Решения»),Ozon,товар,товар маркетплейса,index,index,True,True,"иск удовлетворён к продавцу, но отказан к Ozon",ok,"Предложенные коды корректны. Смешанный исход (удовлетворено к продавцу, отказано к Ozon).",prepaid_goods_delay_art23_1,compel_transfer; penalty; moral_damage; consumer_fine; expenses,mixed,Ozon,товар маркетплейса,index,True
Yse5NQ5b8YbO,"возврат денег за некачественный телевизор, приобретенный дистанционно",goods_defect_art18,возврат денег за некачественный телевизор с маркетплейса,"возврат цены товара с недостатками, неустойка, компенсация морального вреда, штраф, возмещение расходов",refund_price; penalty; moral_damage; consumer_fine; expenses,частичное удовлетворение иска,частично удовлетворены,partially_satisfied,ООО «Интернет Решения» (Ozon),Ozon,Телевизор,телевизор,index,index,True,True,"частичный успех, есть астрент/возврат товара",ok,"Предложение корректно, соответствует материалам дела и словарю.",goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,Ozon,телевизор,index,True
yz0M6YZip7Qn,возврат стоимости авиабилетов при вынужденном отказе от перевозки,service_refusal_art32,возврат авиабилетов и ответственность агента/перевозчика,"возврат стоимости билетов, компенсация морального вреда, штраф",refund_price; moral_damage; consumer_fine,частично удовлетворено,"частичное удовлетворение (против авиакомпании, отказ в иске к агенту, отказ во взыскании штрафа)",mixed,"Ozon Travel, Air Serbia",Ozon Travel / Air Serbia,авиабилеты,авиабилеты,index,index,True,True,"частично против перевозчика, отказ к агенту и в штрафе",ok,Предложенные коды корректны. Отказ от договора перевозки (услуги) по ст.32 ЗоЗПП.,service_refusal_art32,refund_price; moral_damage; consumer_fine,mixed,Ozon Travel / Air Serbia,авиабилеты,index,True
LEkG8QMUg0gC,"возврат товара надлежащего качества, приобретенного дистанционным способом",distance_sale_return_art26_1,возврат товара надлежащего качества при дистанционной покупке,"возврат стоимости товара, неустойка, штраф, компенсация морального вреда, судебные расходы",refund_price; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,partially_satisfied,partially_satisfied,Ozon,Ozon,телевизор,телевизор,index,index,True,True,классический дистанционный отказ без недостатка,ok,"Предложение корректно, соответствует материалам дела и словарю.",distance_sale_return_art26_1,refund_price; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,Ozon,телевизор,index,True
DvLR6OZqCqt,спор о раскрытии информации агрегатором,info_violation_art10_12,требование раскрыть информацию о продавцах на маркетплейсах,"обязание предоставить информацию, компенсация морального вреда, неустойка",information_disclosure; moral_damage; penalty,отказ в удовлетворении иска,проигрыш,rejected,"Lamoda.ru, Яндекс.Маркет, Ozon.ru, Wildberries.ru",несколько маркетплейсов,,информация о продавце,index,index,True,True,важный отказной кейс по информационным обязанностям агрегаторов,fix,Добавлены отсутствующие коды требований: consumer_fine,info_violation_art10_12,information_disclosure; moral_damage; penalty; consumer_fine,rejected,несколько маркетплейсов,информация о продавце,index,True
qVUccWRuFprb,отсутствие обязательной информации о товаре на сайте агрегатора,info_violation_art10_12,недостаточная информация о товаре на маркетплейсе,компенсация морального вреда,moral_damage,отказ в удовлетворении иска,проигрыш,rejected,Wildberries,Wildberries,зарядные устройства,зарядное устройство,index,index,True,True,"информационный спор, отказ из-за недоказанности нарушения",ok,"Предложение корректно, соответствует материалам дела и словарю.",info_violation_art10_12,moral_damage,rejected,Wildberries,зарядное устройство,index,True
1w89Nc1UMNmm,возврат игровой приставки ненадлежащего качества,goods_defect_art18,возврат игровой приставки с недостатком,"расторжение договора купли-продажи, возврат уплаченной за товар суммы, компенсация морального вреда, штраф, неустойка",refund_price; penalty; moral_damage; consumer_fine,satisfied,satisfied_partially,partially_satisfied,Wildberries,Wildberries,игровая консоль,игровая приставка,index,index,True,True,"формально satisfied в JSON, но суммы/штраф обычно требуют частичной квалификации",fix,Добавлены отсутствующие коды требований: expenses,goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,Wildberries,игровая приставка,index,True
LEM5MFXCKK6L,признание договора купли-продажи заключенным и понуждение к исполнению договора,contract_validity_non_zpp,понуждение маркетплейса к исполнению заказа,"признание договора заключенным, понуждение к исполнению договора",contract_recognition; compel_transfer,defeated,defeated,rejected,Wildberries,Wildberries,смартфон,смартфон,index,index,True,True,"иск проигран, полезно для сценария «заказ не считается заключённым»",ok,Предложенные коды корректны. Спор о заключенности договора розничной купли-продажи.,contract_validity_non_zpp,contract_recognition; compel_transfer,rejected,Wildberries,смартфон,index,True
fNiaUxW2zu1p,"возврат цены при отказе от товара, купленного дистанционно",distance_sale_return_art26_1,возврат товара при отказе от дистанционной покупки,"возврат цены, проценты, моральный вред, штраф",refund_price; moral_damage; consumer_fine,частичное удовлетворение,частичное удовлетворение иска,partially_satisfied,"ООО ""Вайлдберриз""",Wildberries,,товар дистанционной продажи,index,index,True,True,"дистанционный отказ, частичное удовлетворение",fix,Добавлены отсутствующие коды требований: expenses,distance_sale_return_art26_1,refund_price; moral_damage; consumer_fine; expenses,partially_satisfied,Wildberries,товар дистанционной продажи,index,True
7hRq36xc81l6,возврат стоимости товара ненадлежащего качества,goods_defect_art18,возврат смартфона с заявленным недостатком,"возврат цены, неустойка, компенсация морального вреда, штраф",refund_price; penalty; moral_damage; consumer_fine,отказ в удовлетворении иска,проиграл,rejected,Яндекс.Маркет,Яндекс.Маркет,смартфон,смартфон,index,index,True,True,отказной кейс по доказательствам недостатка,fix,Добавлены отсутствующие коды требований: expenses,goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; expenses,rejected,Яндекс.Маркет,смартфон,index,True
v0m4w50eZy5n,"возврат стоимости некачественного товара, расторжение договора купли-продажи технически сложного товара из-за существенного недостатка",goods_defect_art18,возврат технически сложного товара с недостатком,"возврат цены, разница в цене, неустойка, моральный вред, судебные расходы",refund_price; price_difference; penalty; moral_damage; expenses,частичное удовлетворение,частичное удовлетворение,partially_satisfied,Яндекс.Маркет,Яндекс.Маркет,планшет,планшет,index,index,True,True,"технически сложный товар, частичный успех",ok,"Предложение корректно, соответствует материалам дела и словарю.",goods_defect_art18,refund_price; price_difference; penalty; moral_damage; expenses,partially_satisfied,Яндекс.Маркет,планшет,index,True
yc651JdA4PJC,ненадлежащее качество технически сложного товара,goods_defect_art18,возврат ноутбука ненадлежащего качества,"возврат стоимости товара, неустойка, штраф, компенсация морального вреда, убытки, расходы на экспертизу",refund_price; penalty; moral_damage; consumer_fine; damages; expenses,частичное удовлетворение,частичное удовлетворение,partially_satisfied,Яндекс.Маркет,Яндекс.Маркет,ноутбук,ноутбук,index,index,True,True,частичное удовлетворение с низкой присуждённой суммой,ok,"Предложение корректно, соответствует материалам дела и словарю.",goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; damages; expenses,partially_satisfied,Яндекс.Маркет,ноутбук,index,True
3mMKR7CNUYQ8,возврат денег за онлайн-обучение,service_refusal_art32,возврат денег за онлайн-обучение,"возврат уплаченной по договору денежной суммы, штраф",refund_price; consumer_fine,satisfied,satisfied,satisfied,Skillbox,Skillbox,онлайн-курс,онлайн-курс,index,index,True,True,"услуги, не товар; полезно как расширение ЗоПП",ok,"Предложение корректно, соответствует материалам дела и словарю.",service_refusal_art32,refund_price; consumer_fine,satisfied,Skillbox,онлайн-курс,index,True
flVxOoBiwCr8,Спор о заключенности договора оказания услуг связи и оплате фактически оказанных услуг,contract_validity_non_zpp,спор по договору услуг связи и начислениям,"Признание договора незаключенным, оспаривание задолженности, требование о признании прав потребителя",contract_recognition; debt_dispute,отказ в иске,В удовлетворении исковых требований отказано в полном объёме.,rejected,ПАО «Ростелеком»,Ростелеком,Услуги связи и оборудование,услуги связи,index,index,True,True,"полный отказ, полезно проверить нецелевые/слабые требования",ok,Предложенные коды корректны. Спор о заключенности договора услуг связи.,contract_validity_non_zpp,contract_recognition; debt_dispute,rejected,Ростелеком,услуги связи,index,True
Pde5A0X4dlZj,отказ в возврате страховой премии при досрочном отказе от страхования,service_refusal_art32,возврат страховой премии,"возврат уплаченной суммы, неустойка, компенсация морального вреда, штраф",insurance_premium_refund; penalty; moral_damage; consumer_fine,satisfaction_partially,частичное удовлетворение иска,partially_satisfied,ООО «СК «Ренессанс Жизнь»,Ренессанс Жизнь,страховая премия,страховая услуга,index,index,True,True,"пограничная, но потребительская услуга; оставить на проверку",ok,Предложенные коды корректны. Пограничный спор о возврате страховой премии по ст.32 ЗоЗПП.,service_refusal_art32,insurance_premium_refund; penalty; moral_damage; consumer_fine,partially_satisfied,Ренессанс Жизнь,страховая услуга,index,True
qNPGP4ky266p,взыскание задолженности по договору поставки,non_consumer_hold,непотребительский спор по договору поставки,возврат суммы предварительной оплаты,hold,полное удовлетворение иска,положительный,hold,ООО «ОЗОН»,Ozon,товар,поставка товара,hold,hold,False,False,дело уже помечено как непотребительское; оставить контрольным исключением,exclude,Непотребительский спор по договору поставки (между юрлицами/ИП). Исключено из индекса.,non_consumer_hold,hold,hold,Ozon,поставка товара,hold,False
qx9K417NRkWN,"возврат уплаченной суммы за автомобиль с существенными недостатками, взыскание убытков, неустойки, морального вреда",goods_defect_art18,возврат автомобиля с существенными недостатками,"возврат стоимости товара, убытки, неустойка, моральный вред, штраф",refund_price; damages; penalty; moral_damage; consumer_fine,частичное удовлетворение,иск удовлетворен частично,partially_satisfied,ООО «УАЗ»,УАЗ,автомобиль,автомобиль,index,index,True,True,"крупные суммы, классический авто-дефект",fix,Добавлены отсутствующие коды требований: expenses,goods_defect_art18,refund_price; damages; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,УАЗ,автомобиль,index,True
0qwM485PLa1s,возврат автомобиля ненадлежащего качества,goods_defect_art18,возврат автомобиля ненадлежащего качества,"возврат уплаченной за товар суммы, компенсация морального вреда, штраф",refund_price; moral_damage; consumer_fine,satisfied_after_filing,satisfied_partially,partially_satisfied,ООО «Автомир-Трейд»,Автомир-Трейд,автомобиль,автомобиль,index,index,True,True,"требования удовлетворены после подачи иска, лучше не считать полным выигрышем без проверки",ok,"Предложение корректно, соответствует материалам дела и словарю.",goods_defect_art18,refund_price; moral_damage; consumer_fine,partially_satisfied,Автомир-Трейд,автомобиль,index,True
82RMC7eXBpH4,"возврат стоимости некачественного технически сложного товара, взыскание неустойки, компенсации морального вреда и штрафа",goods_defect_art18,возврат технически сложного товара с недостатком,"возврат цены, неустойка, моральный вред, штраф",refund_price; penalty; moral_damage; consumer_fine,полное удовлетворение,полностью удовлетворены,satisfied,ООО «МВМ»,М.Видео,телевизор,телевизор,index,index,True,True,"сильный потребительский кейс, почти полное удовлетворение",fix,Добавлены отсутствующие коды требований: expenses,goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; expenses,satisfied,М.Видео,телевизор,index,True
BRRlQN72V9V6,"возврат стоимости технически сложного товара из-за производственного недостатка по истечении гарантийного срока, но в пределах двух лет",goods_defect_art18,"возврат технически сложного товара после гарантии, но в пределах двух лет","возврат цены, неустойка, компенсация морального вреда, возмещение расходов, штраф",refund_price; penalty; moral_damage; consumer_fine; expenses,смешанный,частичное удовлетворение,mixed,ООО «ДНС Ритейл»,ДНС,смартфон,смартфон,index,index,True,True,смешанный/частичный исход; проверить бремя доказывания,ok,"Предложение корректно, соответствует материалам дела и словарю.",goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; expenses,mixed,ДНС,смартфон,index,True
PulUoivdYENP,Непоставка предварительно оплаченного товара,prepaid_goods_delay_art23_1,непоставка предварительно оплаченного товара,"возврат предоплаты, неустойка, компенсация морального вреда, штраф",refund_price; penalty; moral_damage; consumer_fine,Удовлетворено,Иск удовлетворен полностью,satisfied,,не указан,Кухонный гарнитур,кухонный гарнитур,index,index,True,True,"полное удовлетворение, хороший positive-case",ok,"Предложение корректно, соответствует материалам дела и словарю.",prepaid_goods_delay_art23_1,refund_price; penalty; moral_damage; consumer_fine,satisfied,не указан,кухонный гарнитур,index,True
MmtWiS16N45R,нарушение срока передачи предварительно оплаченного товара,prepaid_goods_delay_art23_1,нарушение срока передачи предварительно оплаченного товара,"возврат аванса, неустойка, компенсация морального вреда, штраф, судебные расходы",refund_price; penalty; moral_damage; consumer_fine; expenses,partially_granted,частично удовлетворено,partially_satisfied,,не указан,бревенчатый сруб дома,бревенчатый сруб дома,index,index,True,True,частичное удовлетворение по предоплате/срокам,ok,"Предложение корректно, соответствует материалам дела и словарю.",prepaid_goods_delay_art23_1,refund_price; penalty; moral_damage; consumer_fine; expenses,partially_satisfied,не указан,бревенчатый сруб дома,index,True
YFjMxNYLsLlX,product_defect_and_refund,goods_defect_art18,комплектность мебели и возврат расходов,refund_and_penalties,refund_price; penalty; moral_damage; consumer_fine; damages; expenses,judgment_for_plaintiff,partially_satisfied,partially_satisfied,ООО «Торговый Дом «Лазурит»,Лазурит,furniture,мебель,index,index,True,True,текущее JSON содержит англоязычные enum; требуется нормализация,ok,"Предложенные коды корректны, нормализованы англоязычные enum-значения из JSON v1.",goods_defect_art18,refund_price; penalty; moral_damage; consumer_fine; damages; expenses,partially_satisfied,Лазурит,мебель,index,True
OzQpzlDiDWZ,"refusal to accept return of quality goods bought online, misleading about store location, wrongful deadline calculation",distance_sale_return_art26_1,отказ принять возврат товара надлежащего качества онлайн,"refund of purchase price, moral damages, statutory fine",refund_price; moral_damage; consumer_fine,"иск удовлетворен в части: обязан принять товар, взысканы стоимость, моральный вред и штраф; в требовании о неустойке отказано",частично удовлетворены,partially_satisfied,ООО «Ашан»,Ашан,швабра,швабра,index,index,True,True,текущее JSON содержит англоязычные enum; полезен для дистанционного возврата,fix,"Добавлен код penalty в claim_type_codes, так как неустойка заявлялась в иске.",distance_sale_return_art26_1,refund_price; moral_damage; consumer_fine; penalty,partially_satisfied,Ашан,швабра,index,True
