docid,url,domain,title,passage
zCfOD70dZF1,https://sudact.ru/regular/doc/zCfOD70dZF1/,sudact.ru,Решение № 2-420/2021 2-420/2021~М-235/2021... :: СудАкт.ру,"Существенным признается нарушение договора одной из сторон, которое влечет для другой стороны такой ущерб, что она в значительной степени лишается того, на что была вправе рассчитывать при заключении договора. В соответствии со ст. 10 Закона РФ «О защите прав потребителей» изготовитель (исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора."
nfLIiVfnIsbj,https://sudact.ru/regular/doc/nfLIiVfnIsbj/,sudact.ru,Решение № 2-1233/2023 2-1233/2023~М-443/2023 М-443/2023 от 12...,"Владелец агрегатора не несет ответственность за убытки, причиненные потребителю вследствие предоставления ему недостоверной или неполной информации о товаре (услуге), в случае, если владелец агрегатора не изменяет информацию о товаре (услуге), предоставленную продавцом (исполнителем) и содержащуюся в предложении о заключении договора купли- продажи (договора возмездного оказания услуг). Пунктом 2 ст. 23.1 ФЗ «О Защите прав потребителей» установлено, что в случае, если продавец..."
wzkaHAf8E21E,https://sudact.ru/regular/doc/wzkaHAf8E21E/,sudact.ru,Решение № 2-1742/2025 2-1742/2025~М-810/2025... :: СудАкт.ру,"В связи с этим, в силу пункта 2.1 статьи 12 Закона РФ ""О защите прав потребителей"" ответчик несет ответственность за убытки, причиненные истцу вследствие предоставления недостоверной информации о продавце. | от ДД.ММ.ГГГГ на сумму 309,60 руб. Несение указанных расходов обосновано реализацией истцом своих прав, предусмотренных Законом РФ ""О защите прав потребителей"", а также правом на обращение в суд, в связи с чем, суд признает данные расходы необходимыми."
VUbLq3N4mHLg,https://sudact.ru/regular/doc/VUbLq3N4mHLg/,sudact.ru,Решение № 2-831/2023 2-831/2023~М-610/2023... :: СудАкт.ру,"Согласно договору купли-продажи автомобиль приобретался с пробегом, но при этом продавец обязан был предоставить потребителю достоверную информацию о его пробеге, данные параметры влияли на определение сторонами цены транспортного средства. Доводы ответчика о том, что именно потребителем предоставлена кредитной организации недостоверная информация о пробеге автомобиля 32 000 км, отклоняются судом. Согласно части 5 статьи 10 ГК РФ добросовестность участников гражданских правоотношений и разумность их..."
SW7BQ3oEiqbU,https://sudact.ru/regular/doc/SW7BQ3oEiqbU/,sudact.ru,Решение № 2-2119/2020 2-2119/2020~М-1924/2020... :: СудАкт.ру,"Следовательно, при подписании договора купли-продажи транспортного средства ООО ""МБ-Тверь"" предоставило истцу ненадлежащую информацию о товаре (работах, услуге), что является грубейшим нарушением ст. 10 Закона РФ ""О защите прав потребителей"". Статья 12 Закона РФ ""О защите прав потребителей"" дает право истцу отказаться от исполнения договора купли-продажи и потребовать возврата оплаченных по договору денежных средств."
JFu0uFMkN6QK,https://sudact.ru/regular/doc/JFu0uFMkN6QK/,sudact.ru,Решение № 2-1277/2020 2-1277/2020~М-239/2020... :: СудАкт.ру,"С учетом уточненных исковых требований, истец просил суд признать недостоверной и нарушившей его право, как потребителя, на информацию, а именно указание в ярлыке ООО ""ЛУКАС-ГОЛД"" браслета Артикул: B01-C-BL000210GK на изготовление данного ювелирного изделия ОАО «МЮЗ». | Права потребителя, вследствие не предоставления ему полной и достоверной информации, в том числе и предоставления недостоверной информации о товаре, указаны в статье 12 Закона защите прав потребителей."
yKzioxtguMYK,https://sudact.ru/regular/doc/yKzioxtguMYK/,sudact.ru,Решение № 2-619/2020 2-619/2020~М-401/2020... :: СудАкт.ру,"Согласно статье 10 Закона о защите прав потребителей изготовитель (исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора. Как следует из пункта 2 статьи 16 Закона о защите прав потребителей, запрещается обусловливать приобретение одних товаров (работ, услуг) обязательным приобретением иных товаров (работ, услуг)."
F4tgfJ83SDl1,https://sudact.ru/regular/doc/F4tgfJ83SDl1/,sudact.ru,Решение № 2-484/2023 2-484/2023~М-429/2023 М-429/2023 от 12...,"Согласно разъяснениям, изложенным в пункте 44 Постановления Пленума Верховного Суда РФ от 28 июня 2012 года №17 «О рассмотрении судами гражданских дел по спорам о защите прав потребителей», при рассмотрении требований потребителя о возмещении убытков, причиненных ему недостоверной или недостаточно полной информацией о товаре (работе, услуге), суду следует исходить из предположения об отсутствии у потребителя специальных познаний о его свойствах."
Z6ECxE1FZGbR,https://sudact.ru/regular/doc/Z6ECxE1FZGbR/,sudact.ru,Решение № 2-1135/2023 2-1135/2023~М-958/2023... :: СудАкт.ру,"ФИО1 обратилась в суд с иском к ООО «ЭОС» о защите прав потребителя, в котором просила обязать ООО «ЭОС» внести в БКИ АО «ОКБ» информацию о том, что у нее не имеется обязательств и задолженности перед ООО «ЭОС» по договору №-MSC-R62-VQ44-0047 от 10/07/2012 года в сумме 372321.71 рубля, взыскать с ООО «ЭОС» в. | Ответственность за невнесение достоверной информации/передачу недостоверной информации в бюро кредитных историй несет источник формирования кредитной истории."
lOvgUPRb4KVZ,https://sudact.ru/regular/doc/lOvgUPRb4KVZ/,sudact.ru,Решение № 2-153/2020 2-153/2020~М-35/2020... :: СудАкт.ру,"В свою очередь, с учетом вышеприведенных норм собственник помещений в многоквартирном доме должен быть своевременно проинформирован о предстоящей плате за коммунальные услуги и ему должны своевременно выставляться платежные документы. Согласно пунктам 1, 2 статьи 10 Закона Российской Федерации от 07.02.1992 № 2300-1 «О защите прав потребителей» исполнитель обязан своевременно предоставлять потребителю необходимую и достоверную информацию об услугах..."
