docid,url,domain,title,passage
44gsbu4dGBNQ,https://sudact.ru/regular/doc/44gsbu4dGBNQ/,sudact.ru,Решение № 2-3228/2024 2-3228/2024~М-2624/2024... :: СудАкт.ру,"6 статьи 29 и статьей 32 Закона о защите прав потребителей, является односторонним отказом от исполнения договора, а потому по смыслу статьи 450, пункта 1 статьи 450.1 и пункта 2 статьи 452 ГК РФ при обращении в суд с иском о признании договора расторгнутым соблюдение досудебного порядка урегулирования спора не требуется. | Пунктом 1 ст. 28 Закона о защите прав потребителей предусмотрены права потребителя в связи с нарушением исполнителем срока оказания услуги."
fiXHEle8cxrH,https://sudact.ru/regular/doc/fiXHEle8cxrH/,sudact.ru,Решение № 2-107/2020 2-107/2020(2-6267/2019...) :: СудАкт.ру,"Статья 29 Закона РФ от 07.02.1992 N 2300-1""О защите прав потребителей"" определяет, что потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать: безвозмездного устранения недостатков выполненной работы (оказанной услуги); соответствующего уменьшения цены выполненной работы (оказанной услуги); безвозмездного изготовления другой вещи из однородного материала такого же качества или повторного выполнения работы."
zhmojGgAwwrx,https://sudact.ru/regular/doc/zhmojGgAwwrx/,sudact.ru,Решение № 2-2739/2017 2-2739/2017~М-2066/2017... :: СудАкт.ру,Статья 29 Закона Российской Федерации «О защите прав потребителей» предусматривает права потребителя при обнаружении недостатков выполненной работы (оказанной услуги). | Также истцом заявлено требование о компенсации морального вреда и возложении на ООО «ДЕЗ (адрес)» штрафа за несоблюдение в добровольном порядке требований потребителей в соответствии с п.6 ст.13 Закона Российской Федерации «О защите прав потребителей».
hYbUa7Urh3W5,https://sudact.ru/regular/doc/hYbUa7Urh3W5/,sudact.ru,Решение № 2-963/2020 2-963/2020~М-293/2020... :: СудАкт.ру,"защите прав потребителей предусмотрено право заказчика отказаться от исполнения договора возмездного оказания услуг при условии оплаты исполнителю фактически понесенных им расходов. | Поскольку судом установлено нарушение прав истца как потребителя, в силу положений ст. 15 Закона о защите прав потребителей с каждого из ответчиков подлежит взысканию в пользу истца компенсация морального вреда, размер которой судом с учетом обстоятельств дела определяется в 2 000 рублей."
ypdiIjtZacHr,https://sudact.ru/regular/doc/ypdiIjtZacHr/,sudact.ru,Решение № 2-816/2020 2-816/2020~М-149/2020... :: СудАкт.ру,"Истец, как лицо, в обязанности которого в силу закона и наличия договорных отношений, входит соблюдение безопасности многоквартирного дома, сохранности имущества физических или юридических лиц, государственного, муниципального и иного имущества, несет ответственность перед собственниками помещений за безопасность для жизни и здоровья граждан, а, следовательно, на нем лежит обязанность по защите прав и интересов собственников многоквартирного дома, куда входит и защита прав в судебном порядке"
IG3OO15URBn,https://sudact.ru/regular/doc/IG3OO15URBn/,sudact.ru,Постановление № 44-Г-124/2018 44Г-124/2018... :: СудАкт.ру,"Статья 29 Закона о защите прав потребителей посвящена последствиям выполнения работы (оказания услуги) с недостатками и устанавливает правовые возможности потребителя в соответствующем случае. Согласно статье 30 Закона о защите прав потребителей недостатки работы (услуги) должны быть устранены исполнителем в разумный срок, назначенный потребителем."
tGHVr2Rx78ry,https://sudact.ru/regular/doc/tGHVr2Rx78ry/,sudact.ru,Решение № 2-4883/2020 2-4883/2020~М-4901/2020... :: СудАкт.ру,"Согласно пункту 1 статьи 31 Закона Российской Федерации «О защите прав потребителей» требования потребителя об уменьшении цены за выполненную работу (оказанную услугу), о возмещении расходов по устранению недостатков выполненной работы (оказанной услуги) своими силами или третьими лицами, а также о возврате уплаченной за работу (услугу) денежной суммы и возмещении убытков, причиненных в связи с отказом от исполнения договора, предусмотренные пунктом 1. статьи 28 и пунктами 1 и 4 статьи 29..."
fnpHqXEsViQX,https://sudact.ru/regular/doc/fnpHqXEsViQX/,sudact.ru,Решение № 2-3957/2018 2-3957/2018~М-3535/2018... :: СудАкт.ру,"Статьей 29 Закона РФ «О защите прав потребителей» предусмотрено, что потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе потребовать безвозмездного устранения недостатков выполненной работы (оказанной услуги). | В соответствии со статьей 15 Закона РФ «О защите прав потребителей» истец имеет право на возмещение морального вреда, причиненного нарушением его прав."
SHBRS4KIyAdE,https://sudact.ru/regular/doc/SHBRS4KIyAdE/,sudact.ru,Решение № 2-116/2020 2-116/2020(2-3189/2019...) :: СудАкт.ру,"К правоотношениям сторон подлежит применению Закон РФ «О Защите прав потребителей» с учетом содержащихся в п. 35 Постановления Пленума Верховного Суда РФ ""О рассмотрении судами гражданских дел по спорам о защите прав потребителей"" разъяснений о том, что при причинении вреда жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), а также вследствие непредоставления достоверной или."
e5iaAholP0WW,https://sudact.ru/regular/doc/e5iaAholP0WW/,sudact.ru,Решение № 2-111/2020 2-111/2020(2-1223/2019...) :: СудАкт.ру,"ФИО1 обратилась суд с иском к УК ООО «Ремонтстрой+» о защите прав потребителей, мотивируя требования тем, что с апреля 2018 года многоквартирный дом по адресу: (адрес), приняла в управление управляющая компания ООО «Ремонтстрой+». В рамках договора управления от 01.04.2018г. был принят тариф 13 рублей за кв.м. После года управления собственники заметили, что заявленных ремонтных работ на доме не производится, заявки не исполняются, финансовые отчеты не предоставляются."
cYIZ3teqSbQR,https://sudact.ru/regular/doc/cYIZ3teqSbQR/,sudact.ru,Решение № 2-3858/2020 2-3858/2020~М-1643/2020... :: СудАкт.ру,"2 ч. 1 ст. 29 Закона о защите прав потребителей, потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать безвозмездного устранения недостатков выполненной работы (оказанной услуги). Оценив представленные доказательства в их совокупности, установив юридически значимые для дела обстоятельства, суд приходит к выводу о том, что недостатки по договору № от ДД.ММ.ГГГГ допущены по вине ответчика, в связи..."
uNnAL7AINnmK,https://sudact.ru/regular/doc/uNnAL7AINnmK/,sudact.ru,Решение № 2-282/2020 2-282/2020(2-4327/2019...) :: СудАкт.ру,"На основании изложенного просит обязать СПАО «Ингосстрах» устранить некачественный ремонт по договору КАСКО, взыскать неустойку за нарушение сроков проведения ремонта в размере 33 584 руб. 52 коп., расходы по доставке транспортного средства до места ремонта и обратно – 6 662 руб., штраф в соответствии с Законом РФ ""О защите прав потребителей""."
4R6JU5dS08gV,https://sudact.ru/regular/doc/4R6JU5dS08gV/,sudact.ru,Решение № 2-116/2020 2-7988/2019 от 12 января 2020... :: СудАкт.ру,"Согласно статьи 19 Закона РФ ""О защите прав потребителей"", потребитель вправе предъявить предусмотренные статьей 18 настоящего Закона требования к продавцу (изготовителю, уполномоченной организации или уполномоченному индивидуальному предпринимателю, импортеру) в отношении недостатков товара, если они обнаружены в течение гарантийного срока или срока годности. Исходя из преамбулы, статьи 20 Закона РФ от 07.02.1992 N 2300-1 ""О защите прав потребителей"" и пункта 2 статьи 475 ГК РФ..."
bZcjnQhwIsW,https://sudact.ru/regular/doc/bZcjnQhwIsW/,sudact.ru,Решение № 2-2023/2020 2-2023/2020~М-1665/2020... :: СудАкт.ру,В силу ст. 29 Закона о защите прав потребителей потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать: безвозмездного устранения недостатков выполненной работы (оказанной услуги); соответствующего уменьшения цены выполненной работы (оказанной услуги); безвозмездного изготовления другой вещи из однородного материала такого же качества или повторного выполнения работы.
nUaFwGkUmRHj,https://sudact.ru/regular/doc/nUaFwGkUmRHj/,sudact.ru,Решение № 2-11604/2023 2-11604/2023~М0-9020/2023... :: СудАкт.ру,"В силу пункта 6 статьи 13 Закона о защите прав потребителей, при удовлетворении судом требований потребителя, установленных законом, суд взыскивает с изготовителя (исполнителя, продавца, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) за несоблюдение добровольного порядка удовлетворения требований потребителя штраф в размере пятидесяти процентов от суммы, присужденной судом в пользу потребителя."
UeHswTmOk86R,https://sudact.ru/regular/doc/UeHswTmOk86R/,sudact.ru,Решение № 2-2445/2019 2-93/2020 от 27 января 2020... :: СудАкт.ру,"Исходя из преамбулы и пункта 1 статьи 20 Закона о защите прав потребителей под существенным недостатком товара (работы, услуги), при возникновении которого наступают правовые последствия, предусмотренные статьями 18 и 29 Закона, следует понимать: неустранимый недостаток товара (работы, услуги) - недостаток, который не может быть устранен посредством проведения мероприятий по его устранению с целью приведения товара (работы, услуги) в соответствие с обязательными требованиями"
zfvhZ7h0qIxW,https://sudact.ru/regular/doc/zfvhZ7h0qIxW/,sudact.ru,Решение № 2-394/2025 2-394/2025~М-265/2025... :: СудАкт.ру,"Пункт 6 статьи 13 Закона о защите прав потребителей предусматривает, что при удовлетворении судом требований потребителя, установленных законом, суд взыскивает с уполномоченной организации за несоблюдение в добровольном порядке удовлетворения требований потребителя штраф в размере пятидесяти процентов от суммы, присужденной судом в пользу потребителя."
c6j46it4lXNa,https://sudact.ru/regular/doc/c6j46it4lXNa/,sudact.ru,Решение № 2-1357/2019 2-33/2020 2-33/2020... :: СудАкт.ру,"Данное требование соответствует положениям статьи 29 Закона Российской Федерации ""О защите прав потребителей"" и не является по своей природе повторным взысканием страхового возмещения со страховщика. В пункте 7 Постановления Пленума Верховного Суда Российской Федерации от 29.09.1994 г. N7 ""О практике рассмотрения судами дел с защитой прав потребителей"" разъяснено, что по общему правилу бремя доказывания обстоятельств..."
2TGeURZDGtHr,https://sudact.ru/regular/doc/2TGeURZDGtHr/,sudact.ru,Решение № 2-63/2020 2-63/2020~М-35/2020 М-35/2020... :: СудАкт.ру,"Пункт 6 статьи 13 Закона «О защите прав потребителей» предусматривает, что при удовлетворении судом требований потребителя, установленных законом, суд взыскивает с изготовителя (исполнителя) за несоблюдение в добровольном порядке удовлетворения требований потребителя штраф в размере пятидесяти процентов от суммы, присужденной судом в пользу потребителя."
AOvMR0MbCMU5,https://sudact.ru/regular/doc/AOvMR0MbCMU5/,sudact.ru,Решение № 2-1807/2020 2-1807/2020~М-1369/2020... :: СудАкт.ру,"В соответствии с пунктом 1 статьи 4 Закона Российской Федерации «О защите прав потребителей» продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору. | Выполненные действия: механический ремонт, замена модульных элементов. Особые отметки: обслуживание через отправку в СЦ производителя (в процессе ремонта были выполнены следующие работы: замена камеры). Оборудование возвращено 29.04.2020."
dYBTtWFaWtQa,https://sudact.ru/regular/doc/dYBTtWFaWtQa/,sudact.ru,Решение № 2-20/2020 2-559/2019 от 12 ноября 2020... :: СудАкт.ру,"Сама по себе необходимость капитального ремонта не может исключать обязанности по своевременному проведению текущего ремонта. Обязанность по доказыванию отсутствия вины ответчика в протекании кровли в силу положений Закона РФ «О защите прав потребителей» лежит на ответчике, как на организации, предоставляющей услуги по договору на оказание услуг по содержанию и текущему ремонту имущества многоквартирного дома."
